Title,Release,BPM,ENERGY,DANCE,LOUD,VALENCE
Sanguine Paradise,2019-04-09,0.65,0.11,0.63,0.43,-1.20
Clout (feat. Cardi B),2019-02-22,0.82,0.19,1.76,0.43,-0.30
Suge,2019-03-01,-1.43,0.36,1.52,0.63,1.52
That's a Rack,2019-04-09,0.82,-0.60,1.35,0.24,-0.99
Homicide,2019-05-03,0.82,0.78,0.57,0.63,1.35
Swervin (feat. 6ix9ine),2018-12-21,-0.81,0.36,-0.27,0.83,-0.25
Floating (feat. 21 Savage),2019-04-26,0.82,-0.10,1.70,0.83,0.22
MIDDLE CHILD,2019-01-23,0.26,-0.89,1.29,-0.56,-0.12
Pure Water (with Migos),2019-01-16,2.96,-0.06,0.33,0.63,-1.51
Faucet Failure,2018-11-30,-0.56,-0.10,1.88,0.04,0.57
Envy Me,2018-12-13,1.13,-0.39,-0.39,0.24,0.40
Pop Out (feat. Lil Tjay),2019-02-07,-1.12,0.19,1.41,0.43,-1.03
Feeling,2019-03-08,1.51,-0.22,0.51,0.63,0.31
Red Room,2019-02-14,-0.15,-0.06,1.88,0.04,0.14
Going Bad (feat. Drake),2018-11-30,-1.05,-0.31,1.58,0.63,0.22
Legacy (feat. Travis Scott & 21 Savage),2019-02-22,0.40,-0.27,1.29,0.04,-0.64
Go Loko,2019-05-03,-0.53,0.40,1.52,0.83,-1.51
Shotta Flow,2019-01-17,0.13,-0.60,1.58,0.43,-0.17
Mixed Personalities (feat. Kanye West),2019-01-18,1.16,-0.56,0.21,0.04,-0.60
a lot,2018-12-21,1.03,0.28,1.29,0.24,-0.94
Goddamn (feat. A Boogie wit da Hoodie),2019-04-15,-0.39,-0.01,1.94,0.63,-0.30
Make Believe,2019-03-08,-1.12,1.11,-0.93,1.03,0.79
"West Coast (feat. Blueface, ALLBLACK & YG)",2019-03-28,-0.63,0.86,1.52,0.83,1.39
Wow. - Remix,2019-03-15,-0.56,0.28,1.05,0.63,0.01
CHopstix (with Travis Scott),2019-04-08,0.40,0.11,2.00,0.43,0.53
"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",2019-04-24,0.13,0.65,0.99,1.03,-1.25
Slide (feat. Blueface & Lil Tjay),2019-04-16,-0.70,0.53,-0.57,1.03,0.44
Put a Date On It (feat. Lil Baby),2019-01-25,0.47,0.36,1.29,0.63,0.40
Act Up,2018-11-16,-0.67,0.28,1.88,0.83,-0.77
Light It Up,2019-04-25,-0.56,0.24,1.11,1.03,0.48
Triggered (freestyle),2019-05-08,-0.94,-0.68,-0.93,0.04,-0.56
Come Closer (feat. Queen Naija),2018-12-21,0.82,-0.06,0.69,0.43,0.57
24/7 (feat. Ella Mai),2018-11-30,-1.01,0.57,0.21,0.83,-0.51
RPG (feat. 6lack),2019-02-22,0.58,-0.18,0.81,0.43,1.00
Imported (with 6LACK),2019-04-09,-0.18,0.28,0.63,1.03,-0.56
Good To Ya (feat. Ty Dolla $ign),2019-03-29,-0.70,0.28,0.45,1.03,0.18
Chi Chi (feat. Chris Brown),2019-02-04,-0.22,-0.10,0.69,0.63,-0.90
Lies (feat. Ty Dolla $ign & YG),2019-04-26,-0.77,-0.31,0.93,0.63,-1.16
Please Me,2019-02-15,0.61,-0.01,0.75,0.43,0.70
Nowhere To Run,2019-03-22,2.30,0.32,0.57,0.63,1.00
Feelings (feat. H.E.R.),2019-03-15,0.30,0.65,-0.75,0.63,-0.73
Honesty,2018-10-12,-1.26,-1.56,-0.03,-0.36,-0.30
Pretty Little Fears (feat. J. Cole),2018-09-14,2.61,-0.43,-0.09,-0.36,-1.16
Hope You’re Happy,2019-05-03,-1.26,-0.06,-0.03,0.43,-0.81
Waves (feat. 6LACK),2018-11-15,-1.29,0.07,-0.27,0.83,-0.81
You (Remix feat. Rick Ross),2019-04-12,2.06,0.36,-1.59,0.43,-0.69
Girls Need Love (with Drake) - Remix,2019-02-10,-0.67,-0.60,0.21,0.04,-1.72
Shea Butter Baby (with J. Cole),2018-11-16,1.34,0.15,0.45,1.03,-1.90
Locationships,2019-01-28,0.68,-0.39,0.57,0.04,0.87
Could've Been (feat. Bryson Tiller),2018-08-03,-0.43,-1.02,-0.45,-0.56,-0.38
Ecstasy (feat. Jeremih),2019-01-25,-0.43,-0.52,1.58,0.24,0.66
Fallin' (feat. Russ),2018-12-14,0.82,-0.52,0.39,1.03,-1.25
Roll Some Mo,2018-10-24,-1.43,-0.27,-1.29,0.04,-0.51
Distant,2018-11-17,1.44,-0.01,-1.53,-0.56,0.01
FYT (feat. French Montana),2018-10-26,-0.94,-0.52,0.09,0.04,0.27
Better,2018-10-19,-0.63,0.07,0.45,-0.16,-1.64
Fear Not Of Man,1999-10-12,-0.63,1.07,0.93,0.43,1.87
Hip Hop,1999-10-12,-0.91,1.20,-0.21,0.83,1.31
Love,1999-10-12,-0.74,0.28,0.45,0.24,-0.51
Ms. Fat Booty,1999-10-12,-0.91,0.07,0.93,0.83,1.65
Speed Law,1999-10-12,-0.63,0.40,1.05,0.24,0.87
Do It Now,1999-10-12,-0.77,0.74,0.45,0.63,1.61
Got,1999-10-12,-0.81,0.53,0.69,0.24,0.35
UMI Says,1999-10-12,0.16,0.40,0.57,-0.16,0.35
New World Water,1999-10-12,-0.56,0.99,0.99,0.24,0.79
Rock N Roll,1999-10-12,-0.67,1.15,0.63,0.63,0.74
Know That,1999-10-12,-0.88,1.11,0.57,0.43,0.66
Climb,1999-10-12,-1.01,-0.01,-1.41,-0.16,0.40
Brooklyn,1999-10-12,-0.74,1.32,-0.75,0.63,0.79
Habitat,1999-10-12,-0.70,0.61,1.05,0.24,1.87
Mr. Nigga,1999-10-12,-0.12,1.03,-0.27,0.63,1.18
Mathematics,1999-10-12,-0.77,0.74,0.75,0.63,1.48
May-December,1999-10-12,-0.84,0.44,1.23,0.43,0.53
Yesterday,2016-08-12,1.99,-0.14,-0.99,0.04,-0.08
Sunny Duet (feat. the Mind),2016-08-12,1.37,-0.47,-0.39,-0.16,1.78
Diddy Bop (feat. Cam O'bi & Raury),2016-08-12,-1.22,-0.31,0.09,0.43,0.74
All I Need (feat. Xavier Omär),2016-08-12,-0.84,-0.89,0.15,-0.16,0.05
Reality Check (feat. Akenya & Eryn Allen Kane),2016-08-12,-0.74,-0.22,0.57,-0.16,0.74
Freedom (Interlude),2016-08-12,-0.81,0.61,0.87,-0.36,1.18
Casket Pretty,2016-08-12,-0.43,-0.35,-0.09,-0.36,0.05
Forever (feat. Joseph Chilliams & Ravyn Lenae),2016-08-12,-0.08,0.36,0.27,-0.16,1.82
Bye Bye Baby,2016-08-12,-1.15,-0.81,-0.63,-0.76,0.05
"Shadow Man (feat. Phoelix, Smino & Saba)",2016-08-12,-0.81,-0.52,-0.09,0.43,-0.21
Frequency Change,2018-11-26,-1.60,-0.27,0.03,-1.55,1.26
Slick Talk,2018-11-26,-1.32,1.28,-0.69,0.83,-0.17
Westbrook (with A$AP Ferg),2018-11-26,-0.88,0.86,-0.03,1.03,-0.25
Off Deez (with J. Cole),2018-11-26,-1.08,0.03,1.29,0.63,-0.25
151 Rum,2018-11-26,0.47,1.24,0.81,1.03,0.79
Off Da Zoinkys,2018-11-26,0.75,0.24,0.51,0.43,-0.51
Workin Out,2018-11-26,0.37,-0.01,1.17,0.24,0.31
Tiiied (feat. 6LACK & Ella Mai),2018-11-26,-0.67,0.28,-0.21,0.24,-1.68
Skrawberries (feat. BJ The Chicago Kid),2018-11-26,-1.22,0.82,-0.09,1.03,0.09
Hot Box (feat. Method Man & Joey Bada$$),2018-11-26,-1.29,0.53,0.69,0.24,0.66
Mounted Up,2018-11-26,-0.29,0.15,0.69,0.24,-0.12
Just Da Other Day,2018-11-26,-0.60,-0.18,1.17,0.43,-1.85
Despacito Too,2018-11-26,0.96,0.57,0.15,0.43,-0.47
Hasta Luego - Bonus,2018-11-26,0.82,-0.27,0.87,0.43,-0.81
In Loving Memory,2016-10-27,1.99,0.03,-0.99,-0.16,0.53
Stoney,2016-10-27,1.47,0.28,0.69,0.43,0.92
GPS,2016-10-27,1.37,0.49,0.39,0.83,-0.08
Church / Liquor Store,2016-10-27,-1.05,-0.27,0.21,0.63,1.13
Westside Bound 3,2016-10-27,1.13,0.24,0.99,0.43,0.44
MOST,2016-10-27,-0.29,-0.39,0.75,0.04,0.09
Symmetry,2016-10-27,0.13,-0.27,0.75,-0.36,0.96
Photosynthesis,2016-10-27,-0.18,0.36,0.93,0.24,0.61
The Billy Williams Story,2016-10-27,0.13,0.15,-0.45,0.43,-0.86
Bucket List,2016-10-27,0.96,-0.10,0.93,0.63,-1.33
American Hypnosis,2016-10-27,-0.01,1.28,0.51,0.63,-0.30
California,2016-10-27,-0.63,0.53,-0.81,0.43,-1.16
World In My Hands,2016-10-27,0.68,0.49,1.17,0.83,-0.38
Momma's Calling,2014-06-24,1.27,1.03,-0.69,1.03,-1.55
Fire Kicking Tree Limbs (feat. Money Makin Nique),2014-06-24,-1.15,1.49,0.45,1.03,1.26
Ultra Rare,2014-06-24,1.16,1.45,-0.21,0.83,1.18
No Peace,2014-06-24,0.78,0.90,-0.39,0.83,1.09
Bitchxs Tumbl,2014-06-24,-1.22,1.41,-0.69,0.43,0.53
Machete,2014-06-24,0.82,1.03,0.57,0.63,1.18
Bill Campbell's Soup,2014-06-24,-1.50,0.70,-0.39,0.83,0.27
Apophis (Welcome to America),2014-06-24,0.61,1.24,-0.45,0.43,0.35
UFOs (feat. Marian Mereba),2014-06-24,-0.91,0.03,-1.35,0.24,-1.29
Microscopic Dinosaurs,2014-06-24,-1.43,0.11,0.63,0.24,-0.21
16 Albinos in the S.W.A.T.S.,2014-06-24,1.13,1.49,-0.93,0.63,0.57
Exactly (feat. J.I.D),2014-06-24,0.96,1.24,-0.75,0.43,1.52
Sweet Haste (feat. Hollywood JB),2014-06-24,-1.32,1.24,-0.57,0.63,0.53
The F Bomb,2014-06-24,0.47,0.86,-0.39,1.23,-1.33
Robots,2017-10-06,1.03,0.19,0.33,0.24,1.00
Tokyo Files,2014-12-09,-1.39,1.24,-1.23,1.03,-0.56
Hereditary,2014-01-28,-0.63,0.70,-0.57,0.43,1.09
La La La La,2016-10-21,-0.05,-1.60,-0.51,-0.36,-1.64
A.D.H.D,2011-07-02,1.44,0.95,-0.09,0.43,0.40
Somebody,2017-03-10,-1.39,-0.06,-0.33,0.04,0.09
Excuse Me,2015-05-26,0.20,0.57,0.15,0.24,-0.34
What's the Use?,2018-08-03,-0.39,-0.35,0.81,-0.16,0.31
91 Cadillac DeVille,2017-09-29,-1.01,0.61,-0.93,-0.36,1.26
Status Symbol 3 (feat. Buddy),2018-02-16,0.82,1.03,0.51,1.23,0.48
Sunday,2013-08-16,0.71,-0.01,0.57,0.04,1.82
Droppin' Seeds,2017-07-21,-1.08,-0.18,-1.35,-0.56,-0.34
Effected,2018-02-13,-0.84,0.82,0.81,0.83,0.01
745,2017-06-23,0.09,-0.39,0.99,-0.16,-1.16
Dreamcatcher (feat. Swae Lee & Travis Scott),2018-11-06,1.99,-1.43,0.33,-0.16,-1.68
HIPPOPOTAMUS,2019-01-11,0.82,0.86,1.11,0.63,2.08
gun smoke,2018-12-21,-1.05,-0.47,1.11,0.63,-0.69
Ready (feat. Gunna),2018-11-30,-1.36,-0.72,0.99,0.63,-1.55
Call Me,2017-07-21,1.85,-0.72,0.27,0.04,-1.51
PICK IT UP (feat. A$AP Rocky),2017-10-20,0.68,-0.43,1.76,0.24,-0.86
Roaches,2018-01-12,-1.19,0.03,1.05,0.63,-0.69
Foot Fungus,2018-11-30,-0.94,0.19,1.52,-0.16,1.13
Realer N Realer,2018-10-19,1.09,-0.43,0.63,0.63,-0.51
Lil Boat,2018-11-16,1.16,0.40,0.81,1.03,0.44
Look Alive (feat. Drake),2018-02-09,0.82,0.03,1.76,0.43,0.48
Doves In The Wind,2017-06-09,0.71,0.57,0.39,1.03,0.57
This Time,2012-01-01,-0.15,1.15,-0.99,0.83,0.31
Let Me Down,2018-01-12,0.13,-0.31,-0.45,0.24,-1.42
Only Wanna Give It To You,2012-08-03,-0.63,0.74,0.57,1.03,0.79
Jukai,2017-09-22,1.03,-0.85,-1.17,-0.16,-1.46
At Your Best (You Are Love),1994-05-22,-1.32,-0.56,0.03,-0.36,0.31
Cross My Mind,2004-08-31,1.03,-1.35,1.46,-0.16,-0.43
Take A Byte,2018-04-27,-0.46,-0.06,0.51,0.24,-1.07
Rose In Harlem,2018-06-23,0.96,-0.01,-0.51,0.83,-0.60
When You Touch Me,2002-02-25,-0.08,0.15,0.33,0.63,-0.04
My Hubby Lit,2018-04-13,-1.43,-0.27,0.75,0.04,-0.08
Foolish,2002-01-01,-0.94,0.65,-0.87,0.63,0.87
Motivation,2011-01-01,0.85,0.40,0.57,0.63,-0.94
The Kids Are Alright,2018-03-23,0.13,-0.35,-0.51,0.43,0.01
Why Don't We Fall in Love,2002-07-30,-0.91,0.82,-0.45,0.43,0.70
Dj Lindany (Fearless Boys),2018-05-10,0.20,1.57,0.33,0.04,-0.99
All Alone,2018-05-10,0.20,0.40,0.69,-0.16,-0.25
Muyè (Black Coffee Remix),2018-05-10,0.20,1.07,-0.33,-0.76,-1.94
Kalaa,2018-05-10,0.20,1.03,1.05,-1.35,-1.51
Who Is Themba,2018-05-10,0.20,1.36,0.69,0.04,0.57
The Pap,2014-10-06,0.30,-0.43,1.23,0.43,-0.81
Dominae,2019-04-26,0.26,0.70,0.63,0.04,-0.47
Tshimira,2015-12-11,0.30,0.44,0.93,0.24,0.87
Nana,2017-08-18,0.30,-0.31,1.11,-0.16,0.09
Reflection,2016-03-25,0.23,0.90,1.11,0.04,1.65
The Rapture Pt.II,2018-11-23,0.13,1.32,1.05,0.24,-1.77
Makhe (feat. Moonchild Sanelly),2017-11-17,0.30,0.57,1.88,0.43,-0.43
Sawtooth Orchestra,2018-10-12,0.23,0.24,0.87,-0.36,-0.99
Kelaya,2018-03-20,0.23,1.03,0.63,-0.36,0.92
